date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:22:02	0/-1	---M--	307	error ('')			http://demo3.skyvietnam.vn/M001/thanh-toan	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/thanh-toan.f0.delayed	(from http://demo3.skyvietnam.vn/M001/chinh-sach-ban-hang)
09:22:02	0/-1	---M--	307	error ('')			http://demo3.skyvietnam.vn/M001/thanh-toan	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/thanh-toan.f1.delayed	(from http://demo3.skyvietnam.vn/M001/chinh-sach-ban-hang)
09:22:02	0/-1	---M--	307	error ('')			http://demo3.skyvietnam.vn/M001/thanh-toan	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/thanh-toan.f2.delayed	(from http://demo3.skyvietnam.vn/M001/chinh-sach-doi-tra-hang)
09:22:02	0/-1	---M--	307	error ('')			http://demo3.skyvietnam.vn/M001/thanh-toan	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/thanh-toan.f3.delayed	(from http://demo3.skyvietnam.vn/M001/chinh-sach-doi-tra-hang)
09:22:02	0/-1	---M--	307	error ('')			http://demo3.skyvietnam.vn/M001/thanh-toan	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/thanh-toan.f4.delayed	(from http://demo3.skyvietnam.vn/M001/phien-ban-mobile)
09:22:02	0/-1	---M--	307	error ('')			http://demo3.skyvietnam.vn/M001/thanh-toan	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/thanh-toan.f5.delayed	(from http://demo3.skyvietnam.vn/M001/phien-ban-mobile)
09:22:02	0/-1	---M--	307	error ('')			http://demo3.skyvietnam.vn/M001/thanh-toan	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/thanh-toan.f6.delayed	(from http://demo3.skyvietnam.vn/M001/lien-he)
09:22:02	0/-1	---M--	307	error ('')			http://demo3.skyvietnam.vn/M001/thanh-toan	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/thanh-toan.f7.delayed	(from http://demo3.skyvietnam.vn/M001/lien-he)
09:22:02	0/-1	---M--	307	error ('')			http://demo3.skyvietnam.vn/M001/thanh-toan	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/thanh-toan.f8.delayed	(from http://demo3.skyvietnam.vn/M001/mua-hang-tu-xa)
09:22:02	0/-1	---M--	307	error ('')			http://demo3.skyvietnam.vn/M001/thanh-toan	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/thanh-toan.f9.delayed	(from http://demo3.skyvietnam.vn/M001/mua-hang-tu-xa)
09:22:02	0/-1	---M--	307	error ('')			http://demo3.skyvietnam.vn/M001/thanh-toan	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/thanh-toan.fa.delayed	(from http://demo3.skyvietnam.vn/M001/chinh-sach-bao-hanh)
09:22:02	0/-1	---M--	307	error ('')			http://demo3.skyvietnam.vn/M001/thanh-toan	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/thanh-toan.fb.delayed	(from http://demo3.skyvietnam.vn/M001/chinh-sach-bao-hanh)
09:22:03	0/-1	---M--	307	error ('')			http://demo3.skyvietnam.vn/M001/thanh-toan	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/thanh-toan.fc.delayed	(from http://demo3.skyvietnam.vn/M001/mua-hang-tra-gop)
09:22:03	0/-1	---M--	307	error ('')			http://demo3.skyvietnam.vn/M001/thanh-toan	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/thanh-toan.fd.delayed	(from http://demo3.skyvietnam.vn/M001/mua-hang-tra-gop)
09:22:03	0/-1	---M--	307	error ('')			http://demo3.skyvietnam.vn/M001/thanh-toan	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/thanh-toan.fe.delayed	(from http://demo3.skyvietnam.vn/M001/them-san-pham)
09:22:03	0/-1	---M--	307	error ('')			http://demo3.skyvietnam.vn/M001/thanh-toan	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/thanh-toan.ff.delayed	(from http://demo3.skyvietnam.vn/M001/them-san-pham)
09:22:04	320984/320984	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Jul%202019%2023:00:15%20GMT	http://genknews.genkcdn.vn/2017/7-copy-1483253553472.jpg	E:/web-githubs/web-ban-dong-gia-dung/genknews.genkcdn.vn/2017/7-copy-1483253553472.jpg	(from http://demo3.skyvietnam.vn/M001/den-suoi-nha-tam-hang-chau-au-gia-re-hon-hang-chau-a-nguyen-nhan-do-dau)
09:22:23	302621/302621	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Jan%202017%2006:53:32%20GMT	http://genknews.genkcdn.vn/2017/8-copy-1483253601912.jpg	E:/web-githubs/web-ban-dong-gia-dung/genknews.genkcdn.vn/2017/8-copy-1483253601912.jpg	(from http://demo3.skyvietnam.vn/M001/den-suoi-nha-tam-hang-chau-au-gia-re-hon-hang-chau-a-nguyen-nhan-do-dau)
09:22:23	0/-1	---M--	307	error ('')			http://demo3.skyvietnam.vn/M001/thanh-toan	E:/web-githubs/web-ban-dong-gia-dung/demo3.skyvietnam.vn/M001/thanh-toan.100.delayed	(from http://demo3.skyvietnam.vn/M001/ga-trai-giuong-va-cach-chon-mua-chuan)
